d,g50,g1M
10,-0.5390330568807767,-0.5390330568807767
10,-0.7319725986419628,-0.7319725986419628
10,-0.7084157470287282,-0.7084157470287282
10,-0.7662961808223833,-0.7662961808223833
10,-0.7472026880203816,-0.7472026880203816
10,-0.7324876136882148,-0.7324876136882148
10,-0.7398591159119466,-0.7398591159119466
10,-0.752302426850235,-0.752302426850235
10,-0.7432107106194191,-0.7432107106194191
10,-0.7203469028976143,-0.7203469028976143
10,-0.7257965005172176,-0.7257965005172176
10,-0.7546923514697679,-0.7546923514697679
10,-0.7448806327491658,-0.7448806327491658
10,-0.72884745848777,-0.72884745848777
10,-0.7247076435474556,-0.7247076435474556
10,-0.7268072154942815,-0.7268072154942815
10,-0.7780270974050087,-0.7780270974050087
10,-0.7712960769913547,-0.7712960769913547
10,-0.7661543950439925,-0.7661543950439925
10,-0.7725002924145907,-0.7725002924145907
10,-0.7658472107698124,-0.7658472107698124
10,-0.784962068689957,-0.784962068689957
10,-0.6712066265878556,-0.6712066265878556
10,-0.7553701984232205,-0.7553701984232205
10,-0.6969328289842417,-0.6969328289842417
10,-0.7048867227873001,-0.7048867227873001
10,-0.706316743152741,-0.706316743152741
10,-0.7386706616776737,-0.7386706616776737
